8.56,12.25,1,Adam
29.85,18.68,1,Eva
18.60,12.71,1,Adam
-1.42,12.18,1,Eva
25.11,-2.28,1,Eva
-4.28,13.86,1,Eva
3.60,13.77,1,Eva
23.19,1.13,1,Eva
-9.17,20.14,1,Adam
26.84,-4.85,1,Eva
3.13,9.73,1,Eva
25.48,18.98,1,Eva
22.68,2.29,1,Adam
-5.51,17.52,1,Adam
16.45,13.72,1,Eva
-8.41,5.71,1,Adam
29.70,10.49,1,Eva
2.13,22.47,1,Adam
29.44,-1.62,1,Adam
26.59,16.10,1,Adam
22.73,9.77,1,Eva
9.65,14.23,1,Adam
27.30,-2.82,1,Eva
27.59,1.72,1,Adam
20.79,20.66,1,Eva
22.58,8.16,1,Adam
27.19,7.74,1,Eva
3.58,17.55,1,Adam
9.08,24.31,1,Eva
3.31,3.59,1,Eva
4.43,-0.67,1,Eva
6.65,4.78,1,Eva
26.43,18.22,1,Eva
15.28,-4.52,1,Adam
16.19,-2.99,1,Eva
7.70,19.66,1,Eva
15.02,0.61,1,Eva
8.09,24.58,1,Eva
7.25,13.30,1,Adam
13.36,2.05,1,Adam
15.81,19.57,1,Adam
19.79,14.42,1,Adam
22.78,-1.57,1,Eva
8.62,10.77,1,Adam
12.36,23.50,1,Eva
5.16,5.68,1,Adam
20.55,13.80,1,Eva
13.76,19.35,1,Adam
-9.44,5.63,1,Eva
2.86,20.13,1,Adam
22.06,-2.89,1,Adam
27.41,19.15,1,Eva
5.67,2.18,1,Eva
28.16,15.24,1,Adam
9.72,-4.54,1,Eva
23.08,-3.67,1,Adam
27.15,1.43,1,Adam
-8.76,11.73,1,Eva
23.47,6.25,1,Adam
3.54,14.62,1,Eva
-0.34,15.71,1,Adam
26.10,11.82,1,Eva
24.06,11.37,1,Eva
-3.08,11.09,1,Eva
22.07,-2.92,1,Eva
13.52,-0.38,1,Adam
5.44,1.36,1,Adam
2.26,-3.04,1,Adam
10.00,24.30,1,Adam
-6.62,20.07,1,Eva
5.77,16.41,1,Adam
24.50,19.98,1,Eva
29.41,-1.77,1,Adam
23.72,0.80,1,Eva
-0.28,0.94,1,Eva
12.99,19.54,1,Adam
0.56,23.02,1,Adam
29.45,8.41,1,Eva
15.42,13.44,1,Adam
17.73,-4.25,1,Eva
8.68,16.03,1,Adam
-1.83,-0.64,1,Eva
14.21,18.19,1,Eva
2.63,6.82,1,Eva
-6.94,14.50,1,Adam
-3.34,-1.18,1,Adam
13.28,-1.53,1,Adam
-3.34,21.49,1,Eva
3.03,-2.71,1,Adam
4.58,7.25,1,Eva
27.52,16.21,1,Adam
-9.56,24.68,1,Adam
3.52,16.20,1,Adam
-0.10,8.53,1,Adam
-3.74,22.17,1,Adam
14.00,17.28,1,Adam
24.70,16.64,1,Eva
-5.12,15.96,1,Adam
18.63,22.49,1,Adam
-8.71,-2.29,1,Adam
-4.30,-1.74,1,Eva
13.79,11.35,1,Adam
4.37,-2.45,1,Adam
-8.39,18.63,1,Adam
15.15,10.52,1,Eva
6.03,4.42,1,Adam
27.59,19.58,1,Eva
-3.08,23.64,1,Adam
13.79,22.57,1,Adam
4.03,16.68,1,Eva
10.33,18.60,1,Adam
28.33,1.22,1,Eva
-0.81,23.65,1,Adam
17.86,0.95,1,Eva
-6.05,20.35,1,Eva
15.71,19.10,1,Eva
1.81,5.34,1,Adam
5.22,-1.38,1,Eva
18.16,4.61,1,Adam
2.51,13.49,1,Adam
-7.55,23.19,1,Adam
26.65,6.08,1,Adam
25.01,6.83,1,Adam
22.75,18.17,1,Eva
23.13,0.61,1,Eva
-4.93,14.62,1,Eva
-0.91,11.97,1,Eva
-5.19,6.52,1,Eva
14.70,2.04,1,Eva
14.82,19.87,1,Adam
0.81,24.77,1,Eva
-6.90,4.82,1,Eva
6.49,9.83,1,Eva
